user_role,user_idx,n_train_interactions,recall@20,rank,item_idx,dish_name,dish_type,calories,hit
Active — Recall cao,21,560,0.0214,1,2002,Mì Trộn Rau Củ Chay,Món chay,268,
Active — Recall cao,21,560,0.0214,2,3115,Bánh Croissant Đơn Giản,Món mặn,348,
Active — Recall cao,21,560,0.0214,3,393,Chả cá kho vân trứng,Món mặn,210,
Active — Recall cao,21,560,0.0214,4,1778,Bánh Mì Nướng Muối Ớt,Món mặn,487,
Active — Recall cao,21,560,0.0214,5,2004,Sinh Tố Yến Mạch,Món mặn,512,✓
Active — Recall cao,21,560,0.0214,6,2409,Sữa Bí Đỏ,Món mặn,465,
Active — Recall cao,21,560,0.0214,7,87,Pancake Custard Trứng,Món mặn,528,✓
Active — Recall cao,21,560,0.0214,8,3371,Bánh Bông Lan Chocolate Cuộn,Món mặn,438,
Active — Recall cao,21,560,0.0214,9,2299,Canh Cua Đồng Mồng Tơi,Món mặn,213,
Active — Recall cao,21,560,0.0214,10,51,PanCake kem mè,Món mặn,222,
Active — Recall thap,95,567,0.0,1,744,Cá nướng mù tạt,Món mặn,375,
Active — Recall thap,95,567,0.0,2,3678,Bánh Kem Dưa Hấu,Món mặn,299,
Active — Recall thap,95,567,0.0,3,2694,Đậu Phộng Rang Mắm Tỏi,Món mặn,558,
Active — Recall thap,95,567,0.0,4,2830,Thịt Bê Hấp Sả,Món mặn,520,
Active — Recall thap,95,567,0.0,5,2106,Canh Khoai Tây Chay Thập Cẩm,Món chay,557,
Active — Recall thap,95,567,0.0,6,3210,Gà Bó Xôi Chiên Giòn,Món mặn,540,
Active — Recall thap,95,567,0.0,7,3231,Bánh Canh Nấm Chay,Món chay,438,
Active — Recall thap,95,567,0.0,8,2179,Bầu Kho Cần Tàu,Món mặn,210,
Active — Recall thap,95,567,0.0,9,413,Sườn nướng xốt cay,Món mặn,506,
Active — Recall thap,95,567,0.0,10,47,Mít non kho nấm,Món mặn,413,
Less-active,93,501,0.008,1,226,Pancake nhân dừa,Món mặn,295,
Less-active,93,501,0.008,2,1072,Phở chay,Món chay,524,
Less-active,93,501,0.008,3,2216,Chè Dưỡng Nhan Hạt Chia,Món mặn,369,
Less-active,93,501,0.008,4,2943,Sò Lụa Hấp Sả Ớt,Món mặn,256,
Less-active,93,501,0.008,5,3919,Tôm Hấp Sả,Món mặn,556,
Less-active,93,501,0.008,6,1652,Bánh Sữa Chua Phô Mai,Món mặn,334,
Less-active,93,501,0.008,7,2932,Cốm Dẹp Trộn Dừa,Món mặn,504,
Less-active,93,501,0.008,8,1172,Chè Khoai Lang Bột Báng Nước Cốt Dừa,Món mặn,577,
Less-active,93,501,0.008,9,2010,Gân Bò Trộn Cóc Non,Món mặn,370,
Less-active,93,501,0.008,10,1580,Súp Bắp Gà,Món mặn,547,
